date,class,professor,prof_g_p,q_or_a,student_g_p,time,cont_call,number_m_p,number_w_p
12/3/18,206,Allison,w,q,w,1,0,,
12/3/18,206,Allison,w,q,w,2,0,,
12/3/18,206,Allison,w,q,w,3,0,,
12/3/18,206,Allison,w,q,w,3,0,,
12/3/18,206,Allison,w,q,m,3,0,,
10/10/18,210,Potoski,m,a,m,3,0,,
10/10/18,210,Potoski,m,a,w,3,0,,
10/10/18,210,Potoski,m,a,m,3,0,,
10/10/18,210,Potoski,m,a,m,3,1,1,1
10/10/18,210,Potoski,m,a,w,3,1,0,1
10/10/18,210,Potoski,m,a,w,3,0,,
10/15/18,210,Potoski,m,q,m,1,0,,
10/15/18,210,Potoski,m,a,w,1,0,,
10/15/18,210,Potoski,m,a,m,1,0,,
10/15/18,210,Potoski,m,a,m,1,0,,
10/15/18,210,Potoski,m,a,m,1,0,,
10/15/18,210,Potoski,m,a,m,1,0,,
10/15/18,210,Potoski,m,q,w,2,0,,
10/15/18,210,Potoski,m,q,m,2,0,,
10/15/18,210,Potoski,m,q,w,2,0,,
10/15/18,210,Potoski,m,q,w,2,0,,
10/15/18,210,Potoski,m,q,w,2,0,,
10/15/18,210,Potoski,m,a,m,2,1,1,2
10/15/18,210,Potoski,m,a,w,2,1,1,1
10/15/18,210,Potoski,m,a,w,3,0,,
10/15/18,210,Potoski,m,a,w,3,1,1,3
10/15/18,210,Potoski,m,a,w,3,1,0,3
10/15/18,210,Potoski,m,a,w,3,0,,
10/15/18,210,Potoski,m,a,m,3,1,1,1
10/15/18,210,Potoski,m,a,w,3,1,2,2
10/15/18,210,Potoski,m,a,w,3,1,1,2
10/15/18,210,Potoski,m,a,m,3,0,,
10/15/18,210,Potoski,m,a,w,3,0,,
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,m,1,0,,
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,w,1,1,0,2
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,m,1,0,,
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,w,1,0,,
10/17/18,210,Potoski,m,q,m,2,0,,
10/17/18,210,Potoski,m,q,m,2,0,,
10/17/18,210,Potoski,m,q,m,2,0,,
10/17/18,210,Potoski,m,a,m,2,0,,
10/17/18,210,Potoski,m,a,w,2,0,,
10/17/18,210,Potoski,m,a,m,2,0,,
10/17/18,210,Potoski,m,q,m,2,1,2,0
10/17/18,210,Potoski,m,q,w,2,0,,
10/18/18,210,Potoski,m,q,w,1,1,0,2
10/18/18,210,Potoski,m,q,w,1,0,,
